"city","date","sunlight"
Auckland,2023-04-11,11:19:00
Auckland,2023-04-12,11:17:00
Auckland,2023-04-13,11:15:00
Auckland,2023-04-14,11:12:00
Auckland,2023-04-15,11:10:00
Auckland,2023-04-16,11:08:00
Auckland,2023-04-17,11:06:00
Auckland,2023-04-18,11:04:00
Auckland,2023-04-19,11:02:00
Auckland,2023-04-20,11:00:00
Auckland,2023-04-21,10:57:00
Auckland,2023-04-22,10:55:00
Auckland,2023-04-23,10:53:00
Auckland,2023-04-24,10:51:00
Auckland,2023-04-25,10:49:00
Auckland,2023-04-26,10:47:00
Auckland,2023-04-27,10:45:00
Auckland,2023-04-28,10:43:00
Auckland,2023-04-29,10:41:00
Auckland,2023-04-30,10:38:00
Auckland,2023-05-01,10:36:00
Auckland,2023-05-02,10:34:00
Auckland,2023-05-03,10:33:00
Auckland,2023-05-04,10:31:00
Auckland,2023-05-05,10:29:00
Auckland,2023-05-06,10:27:00
Auckland,2023-05-07,10:25:00
Auckland,2023-05-08,10:23:00
Auckland,2023-05-09,10:21:00
Auckland,2023-05-10,10:19:00
Auckland,2023-05-11,10:18:00
Auckland,2023-05-12,10:16:00
Auckland,2023-05-13,10:15:00
Auckland,2023-05-14,10:13:00
Auckland,2023-05-15,10:11:00
Auckland,2023-05-16,10:09:00
Auckland,2023-05-17,10:08:00
Auckland,2023-05-18,10:07:00
Auckland,2023-05-19,10:05:00
Auckland,2023-05-20,10:03:00
Auckland,2023-05-21,10:01:00
Auckland,2023-05-22,10:01:00
Auckland,2023-05-23,09:59:00
Auckland,2023-05-24,09:58:00
Auckland,2023-05-25,09:56:00
Auckland,2023-05-26,09:56:00
Auckland,2023-05-27,09:54:00
Auckland,2023-05-28,09:53:00
Auckland,2023-05-29,09:51:00
Auckland,2023-05-30,09:51:00
Auckland,2023-05-31,09:49:00
Auckland,2023-06-01,09:48:00
Auckland,2023-06-02,09:48:00
Auckland,2023-06-03,09:46:00
Auckland,2023-06-04,09:45:00
Auckland,2023-06-05,09:45:00
Auckland,2023-06-06,09:44:00
Auckland,2023-06-07,09:43:00
Auckland,2023-06-08,09:42:00
Auckland,2023-06-09,09:42:00
Auckland,2023-06-10,09:41:00
Auckland,2023-06-11,09:41:00
Auckland,2023-06-12,09:40:00
Auckland,2023-06-13,09:40:00
Auckland,2023-06-14,09:39:00
Auckland,2023-06-15,09:39:00
Auckland,2023-06-16,09:39:00
Auckland,2023-06-17,09:38:00
Auckland,2023-06-18,09:38:00
Auckland,2023-06-19,09:38:00
Auckland,2023-06-20,09:37:00
Auckland,2023-06-21,09:38:00
Auckland,2023-06-22,09:38:00
Auckland,2023-06-23,09:38:00
Auckland,2023-06-24,09:37:00
Auckland,2023-06-25,09:38:00
Auckland,2023-06-26,09:38:00
Auckland,2023-06-27,09:38:00
Auckland,2023-06-28,09:39:00
Auckland,2023-06-29,09:39:00
Auckland,2023-06-30,09:40:00
Auckland,2023-07-01,09:40:00
Auckland,2023-07-02,09:40:00
Auckland,2023-07-03,09:41:00
Auckland,2023-07-04,09:41:00
Auckland,2023-07-05,09:42:00
Auckland,2023-07-06,09:43:00
Auckland,2023-07-07,09:44:00
Auckland,2023-07-08,09:45:00
Auckland,2023-07-09,09:45:00
Auckland,2023-07-10,09:47:00
Auckland,2023-07-11,09:47:00
Auckland,2023-07-12,09:48:00
Auckland,2023-07-13,09:50:00
Auckland,2023-07-14,09:50:00
Auckland,2023-07-15,09:51:00
Auckland,2023-07-16,09:53:00
Auckland,2023-07-17,09:53:00
Auckland,2023-07-18,09:55:00
Auckland,2023-07-19,09:56:00
Auckland,2023-07-20,09:57:00
Auckland,2023-07-21,09:59:00
Auckland,2023-07-22,10:00:00
Auckland,2023-07-23,10:02:00
Auckland,2023-07-24,10:03:00
Auckland,2023-07-25,10:04:00
Auckland,2023-07-26,10:06:00
Auckland,2023-07-27,10:08:00
Auckland,2023-07-28,10:08:00
Auckland,2023-07-29,10:10:00
Auckland,2023-07-30,10:12:00
Auckland,2023-07-31,10:14:00
Auckland,2023-08-01,10:15:00
Auckland,2023-08-02,10:17:00
Auckland,2023-08-03,10:19:00
Auckland,2023-08-04,10:21:00
Auckland,2023-08-05,10:23:00
Auckland,2023-08-06,10:24:00
Auckland,2023-08-07,10:26:00
Auckland,2023-08-08,10:28:00
Auckland,2023-08-09,10:30:00
Auckland,2023-08-10,10:32:00
Auckland,2023-08-11,10:33:00
Auckland,2023-08-12,10:35:00
Auckland,2023-08-13,10:37:00
Auckland,2023-08-14,10:40:00
Auckland,2023-08-15,10:42:00
Auckland,2023-08-16,10:43:00
Auckland,2023-08-17,10:45:00
Auckland,2023-08-18,10:47:00
Auckland,2023-08-19,10:50:00
Auckland,2023-08-20,10:52:00
Auckland,2023-08-21,10:53:00
Auckland,2023-08-22,10:56:00
Auckland,2023-08-23,10:58:00
Auckland,2023-08-24,11:00:00
Auckland,2023-08-25,11:03:00
Auckland,2023-08-26,11:04:00
Auckland,2023-08-27,11:06:00
Auckland,2023-08-28,11:09:00
Auckland,2023-08-29,11:11:00
Auckland,2023-08-30,11:13:00
Auckland,2023-08-31,11:15:00
Auckland,2023-09-01,11:17:00
Auckland,2023-09-02,11:20:00
Auckland,2023-09-03,11:22:00
Auckland,2023-09-04,11:24:00
Auckland,2023-09-05,11:26:00
Auckland,2023-09-06,11:29:00
Auckland,2023-09-07,11:31:00
Auckland,2023-09-08,11:34:00
Auckland,2023-09-09,11:35:00
Auckland,2023-09-10,11:38:00
Auckland,2023-09-11,11:40:00
Auckland,2023-09-12,11:43:00
Auckland,2023-09-13,11:44:00
Auckland,2023-09-14,11:47:00
Auckland,2023-09-15,11:49:00
Auckland,2023-09-16,11:52:00
Auckland,2023-09-17,11:54:00
Auckland,2023-09-18,11:56:00
Auckland,2023-09-19,11:58:00
Auckland,2023-09-20,12:01:00
Auckland,2023-09-21,12:03:00
Auckland,2023-09-22,12:06:00
Auckland,2023-09-23,12:07:00
Auckland,2023-09-24,12:10:00
Auckland,2023-09-25,12:12:00
Auckland,2023-09-26,12:14:00
Auckland,2023-09-27,12:17:00
Auckland,2023-09-28,12:19:00
Auckland,2023-09-29,12:22:00
Auckland,2023-09-30,12:24:00
Auckland,2023-10-01,12:27:00
Auckland,2023-10-02,12:28:00
Auckland,2023-10-03,12:31:00
Auckland,2023-10-04,12:34:00
Auckland,2023-10-05,12:36:00
Auckland,2023-10-06,12:38:00
Auckland,2023-10-07,12:41:00
Auckland,2023-10-08,12:43:00
Auckland,2023-10-09,12:45:00
Auckland,2023-10-10,12:47:00
Auckland,2023-10-11,12:50:00
Auckland,2023-10-12,12:52:00
Auckland,2023-10-13,12:55:00
Auckland,2023-10-14,12:57:00
Auckland,2023-10-15,12:59:00
Auckland,2023-10-16,13:02:00
Auckland,2023-10-17,13:04:00
Auckland,2023-10-18,13:07:00
Auckland,2023-10-19,13:09:00
Auckland,2023-10-20,13:11:00
Auckland,2023-10-21,13:14:00
Auckland,2023-10-22,13:15:00
Auckland,2023-10-23,13:17:00
Auckland,2023-10-24,13:19:00
Auckland,2023-10-25,13:22:00
Auckland,2023-10-26,13:24:00
Auckland,2023-10-27,13:26:00
Auckland,2023-10-28,13:28:00
Auckland,2023-10-29,13:30:00
Auckland,2023-10-30,13:33:00
Auckland,2023-10-31,13:35:00
Auckland,2023-11-01,13:37:00
Auckland,2023-11-02,13:39:00
Auckland,2023-11-03,13:41:00
Auckland,2023-11-04,13:43:00
Auckland,2023-11-05,13:45:00
Auckland,2023-11-06,13:47:00
Auckland,2023-11-07,13:49:00
Auckland,2023-11-08,13:52:00
Auckland,2023-11-09,13:54:00
Auckland,2023-11-10,13:56:00
Auckland,2023-11-11,13:57:00
Auckland,2023-11-12,13:59:00
Auckland,2023-11-13,14:01:00
Auckland,2023-11-14,14:03:00
Auckland,2023-11-15,14:05:00
Auckland,2023-11-16,14:06:00
Auckland,2023-11-17,14:08:00
Auckland,2023-11-18,14:10:00
Auckland,2023-11-19,14:11:00
Auckland,2023-11-20,14:13:00
Auckland,2023-11-21,14:14:00
Auckland,2023-11-22,14:16:00
Auckland,2023-11-23,14:18:00
Auckland,2023-11-24,14:19:00
Auckland,2023-11-25,14:20:00
Auckland,2023-11-26,14:22:00
Auckland,2023-11-27,14:23:00
Auckland,2023-11-28,14:25:00
Auckland,2023-11-29,14:26:00
Auckland,2023-11-30,14:27:00
Auckland,2023-12-01,14:28:00
Auckland,2023-12-02,14:30:00
Auckland,2023-12-03,14:31:00
Auckland,2023-12-04,14:32:00
Auckland,2023-12-05,14:33:00
Auckland,2023-12-06,14:34:00
Auckland,2023-12-07,14:34:00
Auckland,2023-12-08,14:35:00
Auckland,2023-12-09,14:36:00
Auckland,2023-12-10,14:37:00
Auckland,2023-12-11,14:38:00
Auckland,2023-12-12,14:38:00
Auckland,2023-12-13,14:39:00
Auckland,2023-12-14,14:39:00
Auckland,2023-12-15,14:40:00
Auckland,2023-12-16,14:40:00
Auckland,2023-12-17,14:41:00
Auckland,2023-12-18,14:41:00
Auckland,2023-12-19,14:41:00
Auckland,2023-12-20,14:42:00
Auckland,2023-12-21,14:41:00
Auckland,2023-12-22,14:42:00
Auckland,2023-12-23,14:41:00
Auckland,2023-12-24,14:42:00
Auckland,2023-12-25,14:41:00
Auckland,2023-12-26,14:42:00
Auckland,2023-12-27,14:41:00
Auckland,2023-12-28,14:40:00
Auckland,2023-12-29,14:41:00
Auckland,2023-12-30,14:40:00
Auckland,2023-12-31,14:39:00
Auckland,2024-01-01,14:39:00
Auckland,2024-01-02,14:38:00
Auckland,2024-01-03,14:37:00
Auckland,2024-01-04,14:37:00
Auckland,2024-01-05,14:36:00
Auckland,2024-01-06,14:35:00
Auckland,2024-01-07,14:35:00
Auckland,2024-01-08,14:34:00
Auckland,2024-01-09,14:32:00
Auckland,2024-01-10,14:31:00
Auckland,2024-01-11,14:30:00
Auckland,2024-01-12,14:29:00
Auckland,2024-01-13,14:28:00
Auckland,2024-01-14,14:27:00
Auckland,2024-01-15,14:25:00
Auckland,2024-01-16,14:24:00
Auckland,2024-01-17,14:23:00
Auckland,2024-01-18,14:21:00
Auckland,2024-01-19,14:20:00
Auckland,2024-01-20,14:18:00
Auckland,2024-01-21,14:17:00
Auckland,2024-01-22,14:15:00
Auckland,2024-01-23,14:14:00
Auckland,2024-01-24,14:12:00
Auckland,2024-01-25,14:10:00
Auckland,2024-01-26,14:08:00
Auckland,2024-01-27,14:06:00
Auckland,2024-01-28,14:05:00
Auckland,2024-01-29,14:03:00
Auckland,2024-01-30,14:01:00
Auckland,2024-01-31,13:59:00
Auckland,2024-02-01,13:57:00
Auckland,2024-02-02,13:56:00
Auckland,2024-02-03,13:53:00
Auckland,2024-02-04,13:51:00
Auckland,2024-02-05,13:49:00
Auckland,2024-02-06,13:47:00
Auckland,2024-02-07,13:45:00
Auckland,2024-02-08,13:43:00
Auckland,2024-02-09,13:41:00
Auckland,2024-02-10,13:39:00
Auckland,2024-02-11,13:37:00
Auckland,2024-02-12,13:34:00
Auckland,2024-02-13,13:32:00
Auckland,2024-02-14,13:30:00
Auckland,2024-02-15,13:27:00
Auckland,2024-02-16,13:25:00
Auckland,2024-02-17,13:23:00
Auckland,2024-02-18,13:21:00
Auckland,2024-02-19,13:19:00
Auckland,2024-02-20,13:17:00
Auckland,2024-02-21,13:14:00
Auckland,2024-02-22,13:12:00
Auckland,2024-02-23,13:10:00
Auckland,2024-02-24,13:08:00
Auckland,2024-02-25,13:05:00
Auckland,2024-02-26,13:03:00
Auckland,2024-02-27,13:01:00
Auckland,2024-02-28,12:58:00
Auckland,2024-02-29,12:56:00
Auckland,2024-03-01,12:54:00
Auckland,2024-03-02,12:51:00
Auckland,2024-03-03,12:49:00
Auckland,2024-03-04,12:47:00
Auckland,2024-03-05,12:44:00
Auckland,2024-03-06,12:42:00
Auckland,2024-03-07,12:39:00
Auckland,2024-03-08,12:37:00
Auckland,2024-03-09,12:35:00
Auckland,2024-03-10,12:32:00
Auckland,2024-03-11,12:30:00
Auckland,2024-03-12,12:27:00
Auckland,2024-03-13,12:25:00
Auckland,2024-03-14,12:22:00
Auckland,2024-03-15,12:20:00
Auckland,2024-03-16,12:17:00
Auckland,2024-03-17,12:16:00
Auckland,2024-03-18,12:14:00
Auckland,2024-03-19,12:11:00
Auckland,2024-03-20,12:09:00
Auckland,2024-03-21,12:06:00
Auckland,2024-03-22,12:04:00
Auckland,2024-03-23,12:01:00
Auckland,2024-03-24,11:59:00
Auckland,2024-03-25,11:56:00
Auckland,2024-03-26,11:55:00
Auckland,2024-03-27,11:52:00
Auckland,2024-03-28,11:50:00
Auckland,2024-03-29,11:47:00
Auckland,2024-03-30,11:45:00
Auckland,2024-03-31,11:42:00
Auckland,2024-04-01,11:40:00
Auckland,2024-04-02,11:37:00
Auckland,2024-04-03,11:36:00
Auckland,2024-04-04,11:33:00
Auckland,2024-04-05,11:31:00
Auckland,2024-04-06,11:29:00
Auckland,2024-04-07,11:26:00
Auckland,2024-04-08,11:24:00
Auckland,2024-04-09,11:22:00
Auckland,2024-04-10,11:20:00
Berlin,2023-04-11,13:40:00
Berlin,2023-04-12,13:43:00
Berlin,2023-04-13,13:47:00
Berlin,2023-04-14,13:51:00
Berlin,2023-04-15,13:56:00
Berlin,2023-04-16,13:59:00
Berlin,2023-04-17,14:03:00
Berlin,2023-04-18,14:07:00
Berlin,2023-04-19,14:10:00
Berlin,2023-04-20,14:14:00
Berlin,2023-04-21,14:18:00
Berlin,2023-04-22,14:23:00
Berlin,2023-04-23,14:26:00
Berlin,2023-04-24,14:30:00
Berlin,2023-04-25,14:34:00
Berlin,2023-04-26,14:38:00
Berlin,2023-04-27,14:41:00
Berlin,2023-04-28,14:45:00
Berlin,2023-04-29,14:49:00
Berlin,2023-04-30,14:52:00
Berlin,2023-05-01,14:56:00
Berlin,2023-05-02,15:00:00
Berlin,2023-05-03,15:04:00
Berlin,2023-05-04,15:07:00
Berlin,2023-05-05,15:11:00
Berlin,2023-05-06,15:14:00
Berlin,2023-05-07,15:17:00
Berlin,2023-05-08,15:21:00
Berlin,2023-05-09,15:25:00
Berlin,2023-05-10,15:28:00
Berlin,2023-05-11,15:31:00
Berlin,2023-05-12,15:35:00
Berlin,2023-05-13,15:38:00
Berlin,2023-05-14,15:41:00
Berlin,2023-05-15,15:45:00
Berlin,2023-05-16,15:48:00
Berlin,2023-05-17,15:51:00
Berlin,2023-05-18,15:54:00
Berlin,2023-05-19,15:57:00
Berlin,2023-05-20,15:59:00
Berlin,2023-05-21,16:03:00
Berlin,2023-05-22,16:05:00
Berlin,2023-05-23,16:08:00
Berlin,2023-05-24,16:11:00
Berlin,2023-05-25,16:14:00
Berlin,2023-05-26,16:16:00
Berlin,2023-05-27,16:18:00
Berlin,2023-05-28,16:21:00
Berlin,2023-05-29,16:23:00
Berlin,2023-05-30,16:25:00
Berlin,2023-05-31,16:27:00
Berlin,2023-06-01,16:29:00
Berlin,2023-06-02,16:32:00
Berlin,2023-06-03,16:34:00
Berlin,2023-06-04,16:36:00
Berlin,2023-06-05,16:37:00
Berlin,2023-06-06,16:39:00
Berlin,2023-06-07,16:40:00
Berlin,2023-06-08,16:41:00
Berlin,2023-06-09,16:43:00
Berlin,2023-06-10,16:44:00
Berlin,2023-06-11,16:45:00
Berlin,2023-06-12,16:47:00
Berlin,2023-06-13,16:47:00
Berlin,2023-06-14,16:48:00
Berlin,2023-06-15,16:48:00
Berlin,2023-06-16,16:49:00
Berlin,2023-06-17,16:49:00
Berlin,2023-06-18,16:50:00
Berlin,2023-06-19,16:50:00
Berlin,2023-06-20,16:50:00
Berlin,2023-06-21,16:51:00
Berlin,2023-06-22,16:51:00
Berlin,2023-06-23,16:51:00
Berlin,2023-06-24,16:50:00
Berlin,2023-06-25,16:50:00
Berlin,2023-06-26,16:49:00
Berlin,2023-06-27,16:49:00
Berlin,2023-06-28,16:48:00
Berlin,2023-06-29,16:47:00
Berlin,2023-06-30,16:46:00
Berlin,2023-07-01,16:46:00
Berlin,2023-07-02,16:45:00
Berlin,2023-07-03,16:43:00
Berlin,2023-07-04,16:42:00
Berlin,2023-07-05,16:40:00
Berlin,2023-07-06,16:40:00
Berlin,2023-07-07,16:38:00
Berlin,2023-07-08,16:36:00
Berlin,2023-07-09,16:34:00
Berlin,2023-07-10,16:33:00
Berlin,2023-07-11,16:30:00
Berlin,2023-07-12,16:28:00
Berlin,2023-07-13,16:26:00
Berlin,2023-07-14,16:24:00
Berlin,2023-07-15,16:22:00
Berlin,2023-07-16,16:19:00
Berlin,2023-07-17,16:17:00
Berlin,2023-07-18,16:15:00
Berlin,2023-07-19,16:11:00
Berlin,2023-07-20,16:09:00
Berlin,2023-07-21,16:07:00
Berlin,2023-07-22,16:04:00
Berlin,2023-07-23,16:01:00
Berlin,2023-07-24,15:58:00
Berlin,2023-07-25,15:55:00
Berlin,2023-07-26,15:52:00
Berlin,2023-07-27,15:49:00
Berlin,2023-07-28,15:46:00
Berlin,2023-07-29,15:43:00
Berlin,2023-07-30,15:39:00
Berlin,2023-07-31,15:37:00
Berlin,2023-08-01,15:33:00
Berlin,2023-08-02,15:30:00
Berlin,2023-08-03,15:26:00
Berlin,2023-08-04,15:23:00
Berlin,2023-08-05,15:20:00
Berlin,2023-08-06,15:16:00
Berlin,2023-08-07,15:13:00
Berlin,2023-08-08,15:09:00
Berlin,2023-08-09,15:05:00
Berlin,2023-08-10,15:02:00
Berlin,2023-08-11,14:58:00
Berlin,2023-08-12,14:54:00
Berlin,2023-08-13,14:51:00
Berlin,2023-08-14,14:47:00
Berlin,2023-08-15,14:44:00
Berlin,2023-08-16,14:40:00
Berlin,2023-08-17,14:36:00
Berlin,2023-08-18,14:33:00
Berlin,2023-08-19,14:29:00
Berlin,2023-08-20,14:25:00
Berlin,2023-08-21,14:22:00
Berlin,2023-08-22,14:17:00
Berlin,2023-08-23,14:13:00
Berlin,2023-08-24,14:10:00
Berlin,2023-08-25,14:06:00
Berlin,2023-08-26,14:02:00
Berlin,2023-08-27,13:59:00
Berlin,2023-08-28,13:54:00
Berlin,2023-08-29,13:51:00
Berlin,2023-08-30,13:47:00
Berlin,2023-08-31,13:43:00
Berlin,2023-09-01,13:39:00
Berlin,2023-09-02,13:35:00
Berlin,2023-09-03,13:31:00
Berlin,2023-09-04,13:28:00
Berlin,2023-09-05,13:23:00
Berlin,2023-09-06,13:19:00
Berlin,2023-09-07,13:16:00
Berlin,2023-09-08,13:11:00
Berlin,2023-09-09,13:07:00
Berlin,2023-09-10,13:04:00
Berlin,2023-09-11,12:59:00
Berlin,2023-09-12,12:55:00
Berlin,2023-09-13,12:51:00
Berlin,2023-09-14,12:47:00
Berlin,2023-09-15,12:43:00
Berlin,2023-09-16,12:39:00
Berlin,2023-09-17,12:35:00
Berlin,2023-09-18,12:30:00
Berlin,2023-09-19,12:26:00
Berlin,2023-09-20,12:23:00
Berlin,2023-09-21,12:18:00
Berlin,2023-09-22,12:14:00
Berlin,2023-09-23,12:10:00
Berlin,2023-09-24,12:06:00
Berlin,2023-09-25,12:02:00
Berlin,2023-09-26,11:58:00
Berlin,2023-09-27,11:54:00
Berlin,2023-09-28,11:49:00
Berlin,2023-09-29,11:45:00
Berlin,2023-09-30,11:42:00
Berlin,2023-10-01,11:37:00
Berlin,2023-10-02,11:33:00
Berlin,2023-10-03,11:30:00
Berlin,2023-10-04,11:25:00
Berlin,2023-10-05,11:21:00
Berlin,2023-10-06,11:17:00
Berlin,2023-10-07,11:13:00
Berlin,2023-10-08,11:09:00
Berlin,2023-10-09,11:05:00
Berlin,2023-10-10,11:00:00
Berlin,2023-10-11,10:57:00
Berlin,2023-10-12,10:53:00
Berlin,2023-10-13,10:49:00
Berlin,2023-10-14,10:44:00
Berlin,2023-10-15,10:41:00
Berlin,2023-10-16,10:37:00
Berlin,2023-10-17,10:33:00
Berlin,2023-10-18,10:29:00
Berlin,2023-10-19,10:25:00
Berlin,2023-10-20,10:21:00
Berlin,2023-10-21,10:17:00
Berlin,2023-10-22,10:13:00
Berlin,2023-10-23,10:09:00
Berlin,2023-10-24,10:05:00
Berlin,2023-10-25,10:02:00
Berlin,2023-10-26,09:58:00
Berlin,2023-10-27,09:54:00
Berlin,2023-10-28,09:50:00
Berlin,2023-10-29,09:46:00
Berlin,2023-10-30,09:43:00
Berlin,2023-10-31,09:39:00
Berlin,2023-11-01,09:35:00
Berlin,2023-11-02,09:31:00
Berlin,2023-11-03,09:27:00
Berlin,2023-11-04,09:23:00
Berlin,2023-11-05,09:20:00
Berlin,2023-11-06,09:17:00
Berlin,2023-11-07,09:13:00
Berlin,2023-11-08,09:09:00
Berlin,2023-11-09,09:06:00
Berlin,2023-11-10,09:02:00
Berlin,2023-11-11,08:59:00
Berlin,2023-11-12,08:56:00
Berlin,2023-11-13,08:52:00
Berlin,2023-11-14,08:49:00
Berlin,2023-11-15,08:46:00
Berlin,2023-11-16,08:42:00
Berlin,2023-11-17,08:40:00
Berlin,2023-11-18,08:36:00
Berlin,2023-11-19,08:33:00
Berlin,2023-11-20,08:30:00
Berlin,2023-11-21,08:28:00
Berlin,2023-11-22,08:25:00
Berlin,2023-11-23,08:21:00
Berlin,2023-11-24,08:19:00
Berlin,2023-11-25,08:16:00
Berlin,2023-11-26,08:13:00
Berlin,2023-11-27,08:12:00
Berlin,2023-11-28,08:09:00
Berlin,2023-11-29,08:07:00
Berlin,2023-11-30,08:04:00
Berlin,2023-12-01,08:02:00
Berlin,2023-12-02,08:00:00
Berlin,2023-12-03,07:58:00
Berlin,2023-12-04,07:57:00
Berlin,2023-12-05,07:54:00
Berlin,2023-12-06,07:53:00
Berlin,2023-12-07,07:51:00
Berlin,2023-12-08,07:50:00
Berlin,2023-12-09,07:49:00
Berlin,2023-12-10,07:46:00
Berlin,2023-12-11,07:45:00
Berlin,2023-12-12,07:44:00
Berlin,2023-12-13,07:43:00
Berlin,2023-12-14,07:42:00
Berlin,2023-12-15,07:42:00
Berlin,2023-12-16,07:41:00
Berlin,2023-12-17,07:41:00
Berlin,2023-12-18,07:40:00
Berlin,2023-12-19,07:40:00
Berlin,2023-12-20,07:40:00
Berlin,2023-12-21,07:39:00
Berlin,2023-12-22,07:39:00
Berlin,2023-12-23,07:39:00
Berlin,2023-12-24,07:40:00
Berlin,2023-12-25,07:40:00
Berlin,2023-12-26,07:40:00
Berlin,2023-12-27,07:41:00
